The column headings are as follows:
"Line (W#)" is the line in units of wavenumber
S/N is line signal to noise
BS distinguishes different possible P/Q/R sets
ODR is "Original Data Row" helps you find the line in raw data
J Val is the g.s. J value of the line
Diff is 2B for P/R or 2delB for Q branches
P/Q/R tells you what type each branch set is -1=P, 0=Q, 1=R
gsK is the ground state K value
Set label is a label for the stitchtog output
Output file for delK_0_gsK_1
Line (W#)	S/N	BS	ODR	J Val	Diff	P/Q/R	gsK	Set Label	
New Set
523.753974158	25.0	44.0	182.0	1.0	0.0718	1.0	1.0	6.0	
523.825759152	31.0	44.0	197.0	2.0	0.0718	1.0	1.0	6.0	
523.966206982	22.0	44.0	216.0	4.0	0.0702	1.0	1.0	6.0	
524.037478955	52.0	44.0	235.0	5.0	0.0706	1.0	1.0	6.0	
524.103416905	12.0	44.0	243.0	6.0	0.0694	1.0	1.0	6.0	
524.162208911	68.0	44.0	256.0	7.0	0.0673	1.0	1.0	6.0	
524.243362053	47.0	44.0	260.0	8.0	0.0696	1.0	1.0	6.0	
523.627868917	36.0	3.0	163.0	1.0	0.0041	0.0	1.0	6.0	
523.632003111	80.0	3.0	164.0	2.0	0.0041	0.0	1.0	6.0	
523.641269855	88.0	3.0	165.0	4.0	0.004	0.0	1.0	6.0	
523.647166934	35.0	3.0	167.0	5.0	0.0038	0.0	1.0	6.0	
523.656756902	11.0	3.0	169.0	6.0	0.0041	0.0	1.0	6.0	
523.692450929	52.0	3.0	173.0	9.0	0.0043	0.0	1.0	6.0	
523.44433895	78.0	14.0	136.0	2.0	0.0735	-1.0	1.0	6.0	
523.370806079	39.0	14.0	126.0	3.0	0.0735	-1.0	1.0	6.0	
522.981646857	14.0	14.0	110.0	8.0	0.0778	-1.0	1.0	6.0	
522.934670024	19.0	14.0	106.0	9.0	0.0727	-1.0	1.0	6.0	
522.814391148	42.0	14.0	101.0	10.0	0.0795	-1.0	1.0	6.0	
New Set
523.753974158	25.0	44.0	182.0	1.0	0.0718	1.0	1.0	7.0	
523.825759152	31.0	44.0	197.0	2.0	0.0718	1.0	1.0	7.0	
523.966206982	22.0	44.0	216.0	4.0	0.0702	1.0	1.0	7.0	
524.037478955	52.0	44.0	235.0	5.0	0.0706	1.0	1.0	7.0	
524.103416905	12.0	44.0	243.0	6.0	0.0694	1.0	1.0	7.0	
524.162208911	68.0	44.0	256.0	7.0	0.0673	1.0	1.0	7.0	
524.243362053	47.0	44.0	260.0	8.0	0.0696	1.0	1.0	7.0	
523.627868917	36.0	3.0	163.0	1.0	0.0041	0.0	1.0	7.0	
523.632003111	80.0	3.0	164.0	2.0	0.0041	0.0	1.0	7.0	
523.641269855	88.0	3.0	165.0	4.0	0.004	0.0	1.0	7.0	
523.647166934	35.0	3.0	167.0	5.0	0.0038	0.0	1.0	7.0	
523.656756902	11.0	3.0	169.0	6.0	0.0041	0.0	1.0	7.0	
523.692450929	52.0	3.0	173.0	9.0	0.0043	0.0	1.0	7.0	
523.476273042	57.0	15.0	142.0	2.0	0.0698	-1.0	1.0	7.0	
523.406468084	57.0	15.0	130.0	3.0	0.0698	-1.0	1.0	7.0	
523.113227885	12.0	15.0	115.0	7.0	0.0733	-1.0	1.0	7.0	
522.964146083	12.0	15.0	108.0	9.0	0.0737	-1.0	1.0	7.0	
522.934670024	19.0	15.0	106.0	10.0	0.0674	-1.0	1.0	7.0	
New Set
523.753974158	25.0	44.0	182.0	1.0	0.0718	1.0	1.0	8.0	
523.825759152	31.0	44.0	197.0	2.0	0.0718	1.0	1.0	8.0	
523.966206982	22.0	44.0	216.0	4.0	0.0702	1.0	1.0	8.0	
524.037478955	52.0	44.0	235.0	5.0	0.0706	1.0	1.0	8.0	
524.103416905	12.0	44.0	243.0	6.0	0.0694	1.0	1.0	8.0	
524.162208911	68.0	44.0	256.0	7.0	0.0673	1.0	1.0	8.0	
